CUST_ID,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10031,1,0.5,10,64,13000,4230.323491,3292.01503,0,12
C10032,1,0.166667,2,45,6000,645.998299,256.848991,0,12
C10033,0,0.166667,3,3,10500,1720.118876,2506.745366,0,12
C10034,0,0,0,11,1200,423.449696,196.301885,0.3,12
C10035,1,0,0,14,11000,8735.607835,17862.55831,0,12
C10036,0,0.083333,1,0,1800,351.500199,634.569311,0,12
C10037,0,0.727273,11,0,9000,1636.361601,1986.843608,0,11
C10038,0.75,0.333333,7,41,5000,1617.894416,1541.141605,0,12
C10039,0,0.333333,12,2,9000,1237.111661,2049.408839,0,12
C10040,0,0.333333,6,6,7500,20071.07544,719.948985,0.333333,12
C10041,0,0.25,3,0,1800,3067.05783,283.333445,0.166667,12
C10043,0.333333,0.25,11,27,3000,1262.309666,363.142736,0.111111,12
C10044,0,0,0,1,4500,868.275275,1801.264841,0,12
C10045,0,0.083333,1,0,1500,378.294227,321.354137,0,12
C10046,1,0,0,20,8500,1430.341501,1318.71492,0,12
C10047,0.333333,0.166667,2,5,2400,0,,0,12
C10048,0.25,0.125,1,3,1700,176.013005,147.199792,0,8
C10049,0,0.5,7,0,4200,0,,0,12
C10050,1,0,0,87,3300,2543.953559,175.657825,0.916667,12
C10051,0,0.083333,2,3,4000,587.866451,286.448719,0.083333,12
C10052,0.25,0.875,37,9,12000,8113.297346,1012.415961,0,8
C10053,0.5,0,0,18,2500,1399.82834,1322.446601,0,12
C10054,0,0.25,3,0,3500,691.825279,581.481917,0,12
C10055,0,0.111111,1,11,3000,3110.052742,132.446091,0.2,9
C10056,0.666667,0,0,8,1000,417.016763,,0,12
C10057,0,0,0,6,6000,0,,0,12
C10058,0,0.416667,5,4,4000,0,,0,12
C10059,0.5,0,0,42,7500,5678.729613,1311.514878,0.083333,12
C10060,0,0.181818,3,0,4000,764.938728,1600.212243,0,11
C10061,0.333333,0.333333,4,6,6000,2110.557023,1895.02617,0,12
C10062,0,0,0,2,6500,3509.686561,548.105836,0,12
C10063,0,0,0,1,1600,338.083661,837.215674,0,12
C10064,0,0.545455,7,0,4150,4372.148648,241.645387,0.090909,11
C10065,0,0,0,1,1600,0,,0,12
C10067,1,0.083333,4,61,1850,3688.045998,3266.996777,0.083333,12
C10068,0.166667,0,0,11,1800,777.451648,897.905444,0,12
C10069,0,0.125,1,0,1500,146.074769,179.412493,0,8
C10070,0,0.416667,6,0,2500,540.022225,352.883804,0,12
C10071,0.583333,0,0,8,6000,6876.836205,1001.607366,0.083333,12
C10072,0,0,0,4,1700,1623.816348,923.505868,0,12
C10073,0.833333,0.333333,4,11,6250,1288.214909,2180.881868,0,12
C10074,0.583333,0.833333,27,33,7000,28232.69446,1107.030803,0.454545,12
C10075,0,0.125,3,0,7000,910.457985,140.983193,0.25,8
C10077,0.4,0,0,8,2250,889.017418,622.757696,0,10
C10078,0.181818,0,0,7,6000,1305.177304,175.510344,0,11
C10079,0.75,0,0,14,6000,1990.044998,2161.428274,0,12
C10080,0,0,0,17,11000,2959.920544,623.656993,0,12
C10081,0.666667,0,0,8,1500,1438.910569,190.186542,0,12
C10082,0,0.083333,1,0,1200,29.278671,8242.687678,0,12
C10083,0,0.416667,7,7,7000,1624.583114,2503.40234,0,12
C10084,0.583333,0,0,13,5000,357.802082,121.523416,0.181818,12
C10085,0,0.166667,5,0,9500,116.569033,164.692136,0,12
C10086,0.25,0,0,5,12000,210.053432,99.533735,0.444444,12
C10087,0.416667,0,0,12,1200,725.606194,140.809454,1,12
C10088,0.333333,0.083333,1,50,9000,4921.066897,594.756686,0,12
C10089,0,0,0,22,16500,1275.229436,171.357189,1,12
C10090,1,0.75,23,23,11000,4589.873897,1876.262988,0,12
C10092,1,0.75,21,60,13500,3021.575846,2074.581541,0,12
C10093,0,0.083333,1,1,4500,1073.844885,968.941265,0,12
C10094,0,0.416667,14,0,6500,1502.205631,2864.380327,0,12
C10095,0.916667,0.083333,1,46,9000,6409.496345,9827.045323,0,12
C10096,0.818182,0.545455,21,17,4000,3056.424974,910.707525,0.090909,11
C10097,0,0.083333,1,1,1800,440.840439,312.560636,0,12
C10098,0,0,0,2,2400,0,,0,12
C10099,0,0,0,3,2400,0,,0,12
C10100,0,0.083333,1,0,1200,151.823651,2906.110765,0,12
C10101,0,0,0,11,6000,417.128532,389.138517,0,12
C10102,0,0.5,6,0,4000,0,,0,12
C10103,0.166667,0,0,3,7000,217.820198,121.781205,1,12
C10104,0,0.142857,1,0,3000,138.021428,,0,7
C10105,0,0,0,1,1500,26.487919,60.913577,0,9
C10106,1,0,0,12,2000,712.149153,54.79166,0,12
C10107,0.833333,0,0,75,5700,9172.788366,2103.796148,0.083333,12
C10108,1,0,0,31,4500,0,,0,12
C10109,0,0.083333,1,0,4000,2236.890255,214.828158,0.083333,12
C10110,0,0.333333,6,4,4000,532.741699,1026.976,0,12
C10111,1,0,0,12,2500,1097.78942,176.610605,0.083333,12
C10112,0,0.583333,40,0,8000,1241.538024,1439.230899,0,12
C10113,0.5,0.083333,2,10,2000,577.050373,498.365419,0,12
C10114,1,0.583333,21,64,9000,10857.94321,2469.571326,0.083333,12
C10115,0.833333,0,0,34,5500,858.976682,108.319927,0,12
C10116,0,0.083333,2,0,4200,0,,0,12
C10117,1,0.333333,8,81,8500,1509.423237,1834.031569,0,12
C10118,0,0.25,11,0,7000,1277.76778,2760.115734,0,12
C10119,0.333333,0,0,14,5000,1884.227778,136.639824,1,12
C10120,1,0,0,25,3000,552.432305,207.720441,0,12
C10121,0.5,0,0,12,6500,1206.81188,99.372848,0.333333,12
C10122,0,0.25,10,0,1800,687.691735,2439.136113,0,12
C10123,0.166667,0,0,2,7000,1969.845566,147.049952,1,12
C10124,0,0.333333,4,0,3000,932.418855,709.207016,0,12
C10125,1,0.5,10,85,17000,1888.756861,2167.446204,0,12
C10126,0,0,0,8,9000,0,,0,12
C10127,1,0,0,75,8500,3564.977774,630.00413,0,12
C10128,0,0.166667,2,0,3200,1065.426905,1412.648089,0,12
C10130,0,0.333333,9,0,19000,3066.614272,3406.258999,0,12
C10131,0,0,0,217,2800,11628.71557,2000.990921,0,12
C10132,0,0.125,1,0,1200,385.853874,84.697292,0.166667,8
C10133,0.583333,0,0,19,5000,1004.35474,1086.428906,0,12
C10134,0,0.5,14,1,17000,2606.059389,2894.077159,0,12
C10135,0,0.083333,3,0,13000,0,,0,12
C10136,0,0.083333,1,8,5000,0,,0,12
C10137,0.833333,0,0,33,5000,1906.032044,3572.279251,0,12
C10138,0.5,0,0,7,3000,319.762903,173.632006,0,12
C10139,0,0.666667,16,1,13000,10664.65866,2600.875721,0.083333,12
C10140,0.916667,0,0,22,4000,554.116542,185.091037,0,12
C10141,0.25,0,0,8,2000,1020.783647,709.610053,0,12
C10142,1,0,0,52,17000,1015.311953,615.92402,0,12
C10143,0.916667,0.25,3,18,1200,972.358048,184.524376,0,12
C10144,1,0,0,216,18000,23018.57583,18621.01331,0,12
C10145,0,0.083333,1,12,2500,1061.292471,689.118919,0,12
C10146,0.166667,0,0,5,1000,492.200419,509.384182,0,12
C10147,0,0.166667,3,0,7500,1566.806897,172.959728,0,12
C10148,0,0.5,9,0,7000,0,,0,12
C10149,0.583333,0,0,13,21500,3219.621433,3068.125648,0,12
C10150,1,0,0,97,6500,4416.41268,546.439139,0,12
C10151,0,0,0,2,7500,698.854095,819.682666,0,12
C10152,0.833333,0,0,10,10000,746.691026,,0,12
C10153,0,0.083333,1,1,9000,1235.630069,194.324456,0.083333,12
C10154,0.416667,0,0,9,1500,1955.198953,992.652486,0,12
C10155,0.833333,0.083333,1,11,13500,1855.235407,468.196732,0.083333,12
C10156,0.5,0.166667,7,14,7000,3685.61062,12854.9397,0,12
C10157,1,0,0,31,6500,2254.26002,329.29648,0,12
C10158,1,0,0,24,8000,835.839952,193.011166,1,12
C10159,1,0.75,26,216,20000,11717.30794,6042.391629,0,12
C10160,1,0,0,46,4000,2573.722764,95.342224,0.636364,12
C10161,0.25,0,0,4,20000,3104.275623,288.903628,0.25,12
C10162,0.5,0.75,15,46,7900,0,,0,12
C10163,0,0.166667,2,0,1800,363.474455,2827.997525,0,12
C10164,0.666667,0,0,77,11000,14373.3929,1058.128452,0.25,12
C10165,0,0.083333,1,2,1200,439.407082,362.838185,0,12
C10166,0,0.416667,5,0,3000,778.827993,721.798576,0,12
C10167,0,0.083333,1,0,8500,1009.185035,1177.149934,0,12
C10168,1,0,0,27,1200,1110.886425,208.298424,0,12
C10169,0.166667,0,0,5,4000,422.711848,616.005839,0,12
C10170,0.833333,0,0,6,1000,367.109312,86.102479,0.5,6
C10171,0,0.083333,1,0,6500,1346.365584,1972.526015,0,12
C10172,1,0,0,12,8000,2916.071564,243.199498,0,12
C10173,0.75,0.083333,1,42,15000,4756.654374,241.894073,0.916667,12
C10174,1,0,0,12,1000,1202.711782,1747.037345,0,12
C10175,0.333333,0,0,17,4000,1795.012223,167.219681,0,12
C10176,0,0.222222,5,0,4000,3621.266477,193.171404,0,9
C10177,0.833333,0.583333,18,130,10500,10693.49585,347.641073,0.75,12
C10178,0.166667,0,0,3,12500,291.948834,43.452683,0.181818,12
C10179,0,0.285714,9,0,3000,1423.788603,461.365626,0.2,7
C10180,1,0.166667,3,90,14000,4639.513745,3192.306018,0,12
C10181,0,0.166667,2,0,1800,470.565984,408.799147,0,12
C10182,0,0.25,5,12,2300,0,,0,12
C10183,0,0.583333,13,0,3000,2431.578544,1739.74883,0,12
C10184,0.916667,0,0,44,20000,2814.231227,186.230835,1,12
C10185,0.416667,0,0,5,5300,831.375322,189.036967,0.166667,12
C10186,1,0,0,39,2500,1686.196344,303.361632,0,12
C10187,0.083333,0,0,1,5000,0,,0,12
C10188,0.166667,0.75,28,3,4500,17301.83238,931.618475,0.166667,12
C10189,0.083333,0,0,3,12000,0,,0,12
C10190,0.416667,0,0,15,10000,441.588141,136.827952,0,12
C10191,0.75,0,0,22,1200,2612.760497,197.638558,0.142857,12
C10192,0.166667,0.25,4,2,6000,1186.062765,374.595505,0,12
C10193,0.916667,0,0,30,900,579.749308,693.894717,0,12
C10194,0,0.083333,1,6,2400,0,,0,12
C10196,0,0.083333,1,15,1500,277.522439,286.299328,0,12
C10197,0,0,0,3,6150,254.392984,55.79974,0.090909,12
C10198,0,0,0,2,6000,0,,0,12
C10199,0,0.083333,1,1,4000,1647.880773,24.815878,0.083333,12
C10200,0.5,0,0,18,16500,1382.269127,1755.253802,0,12
C10201,0,0,0,15,4000,1110.870941,1431.201171,0,12
C10202,0.833333,0,0,34,11500,1412.597253,1825.176503,0,12
C10203,0.666667,0,0,36,8000,2422.911622,187.046284,0.888889,12
C10204,0.583333,0,0,33,15000,1043.55929,182.429461,0.545455,12
C10205,0,0,0,5,8000,541.722532,762.682834,0,12
C10206,0.166667,0.75,14,2,6000,2976.579866,3463.174962,0,12
C10207,0,0,0,2,23000,1212.054219,68.725483,0,12
C10208,0.416667,0.333333,6,12,2000,1249.835142,313.052687,0,12
C10209,0.833333,0,0,10,4000,376.758504,169.78292,0.818182,12
C10211,0.166667,0.083333,2,8,14000,4720.900413,2557.044576,0,12
C10212,1,0,0,123,7500,9423.715495,2925.275522,0,12
C10213,0.083333,0,0,1,4000,130.107234,29.700051,0.090909,12
C10214,0,0.416667,9,2,1800,2591.391006,808.217224,0,12
C10215,0.083333,0.25,16,9,10500,1941.541158,2391.987571,0,12
C10216,0.666667,0.416667,10,23,11500,1658.563509,1887.413517,0,12
C10217,0.166667,0,0,4,5000,1260.16384,59.04439,0.222222,12
C10218,0.166667,0.75,24,15,10000,1919.630466,1731.549385,0,12
C10219,0.083333,0,0,9,7500,1034.932404,941.496383,0,12
C10220,0,0.083333,1,0,7500,4543.63481,647.20869,0,12
C10221,0,0,0,9,6000,947.696134,217.027653,0,12
C10222,0.166667,0,0,3,4000,548.967281,48.659935,0,12
C10223,0.083333,0,0,2,7500,0,,0,12
C10224,0.916667,0.083333,1,39,1500,542.836917,471.496776,0,12
C10226,0.166667,0,0,7,11500,134.710832,75.515008,0.111111,12
C10227,0.25,0.833333,16,10,2000,2795.059574,2661.324808,0,12
C10228,1,0.083333,1,52,8500,5763.666926,582.589765,0,12
C10229,1,0,0,151,10000,11994.41815,8517.258683,0,12
C10230,0.083333,0,0,17,7000,971.234118,985.954762,0,12
C10231,0,0,0,1,2700,69.163384,99.401747,0,7
C10232,0.75,0,0,23,14500,1508.016452,1370.519926,0,12
C10233,0,0,0,5,8500,11036.72668,1824.680131,0,12
C10234,0,0,0,1,4000,125.769169,104.857518,0,12
C10235,0.833333,0,0,39,4000,2384.542045,3868.70983,0,12
C10236,0.75,0,0,25,8500,2187.930651,739.224894,0,12
C10237,0,0.111111,1,0,1200,1068.581252,25.537,0.5,9
C10238,0.583333,0,0,41,19500,9695.650901,726.696049,0.363636,12
C10239,0.583333,0,0,13,1400,505.317328,438.324017,0,12
C10240,1,0,0,12,2900,2928.909865,2733.317012,0.083333,12
C10241,0,0.083333,1,21,5700,1215.454299,422.331098,0,12
C10242,0,0,0,1,2500,542.7463,628.211031,0,12
C10243,0.75,0.083333,1,41,3000,1839.928884,1075.456585,0,12
C10244,0,0,0,12,8000,0,,0,12
C10245,0.416667,0.25,3,6,12000,1975.974183,1774.584333,0,12
C10246,0.25,0.083333,1,5,10500,2515.435738,975.504012,0,12
C10247,0.416667,0.166667,3,7,5500,409.594792,69.921472,0,12
C10248,0.333333,0,0,10,1950,586.974046,1089.040271,0,12
C10249,0,0.25,4,4,7200,0,,0,12
C10250,0.333333,0,0,15,4000,3773.727455,169.879335,1,12
C10251,0.916667,0,0,101,8000,5825.602115,318.305326,0.166667,12
C10252,0,0,0,1,5500,426.092563,213.369694,0,11
C10253,1,0,0,49,3000,3574.480603,1328.897516,0,12
C10254,0.166667,0,0,3,3000,130.61272,41.436595,0.181818,12
C10255,0.75,0,0,33,12000,1055.835407,236.619362,0,12
C10256,1,0,0,12,1500,75.896288,75.967742,0,12
C10257,1,0.416667,12,12,12000,10993.89211,2501.560923,0,12
C10258,0.5,0,0,98,12500,2657.856602,1912.298544,0,12
C10259,0,0.333333,6,14,4000,3033.665478,716.70488,0,12
C10260,1,0,0,12,1000,1851.602411,1382.292833,0.083333,12
C10261,0.416667,0,0,5,2000,220.46377,71.965063,0.25,12
C10262,0,0,0,13,11500,1449.039414,183.298253,1,12
C10263,0,0.166667,2,0,6000,1350.318606,1249.937085,0,12
C10265,0.272727,0,0,4,1500,479.910499,149.977816,0.5,11
C10266,0,0,0,1,10000,76.943584,75.595199,0,12
C10267,0.416667,0.25,6,28,11000,802.38543,229.655091,0,12
C10269,1,0,0,84,13500,1583.411686,2216.638394,0,12
C10270,0,0.166667,5,0,1800,2166.981163,568.063083,0.083333,12
C10271,0,0,0,2,9000,3823.346244,629.080506,0,12
C10272,1,0.083333,1,93,4500,1350.370286,655.633916,0,12
C10273,0.75,0.083333,1,81,3000,3792.095079,1737.893866,0.083333,12
C10274,0.833333,0.5,12,72,10000,4758.209146,7256.951816,0,6
C10275,0.5,0,0,10,9000,2161.153147,312.343947,0,12
C10276,1,0,0,14,7500,5624.074339,9952.672511,0,12
C10277,1,0,0,50,6000,1116.967993,289.439818,0,12
C10278,0,0,0,11,7500,717.798364,670.049653,0,12
C10279,0,0,0,3,9500,634.000055,92.012927,0.083333,12
C10280,0.25,0.083333,1,38,10950,11198.92613,608.36886,0.083333,12
C10281,1,0.083333,1,99,8500,4317.191232,208.73456,0.916667,12
C10282,0,0.416667,5,2,7500,990.524408,989.783286,0,12
C10283,0.75,0,0,21,14000,1280.473571,193.369942,0.833333,12
C10284,1,0,0,98,11500,26652.34432,1971.129435,0.083333,12
C10285,0.916667,0.333333,13,21,16500,12005.3074,1055.547896,0.083333,12
C10286,0,0,0,1,1500,294.507498,86.245988,0,12
C10287,0,0.083333,1,4,2100,483.557464,524.426392,0,12
C10288,0,0,0,1,5700,0,,0,12
C10289,0.666667,0,0,9,10500,5863.94034,570.250342,0.5,12
C10290,1,0.083333,1,14,8500,859.829946,479.831475,0,12
C10291,0.333333,0,0,12,13500,4786.64868,1741.158024,0,12
C10292,1,0.083333,1,12,1000,829.505486,1623.389428,0,12
C10293,0.416667,0,0,9,9500,568.336995,272.270427,0,12
C10294,1,0,0,62,2500,2914.419813,2173.680619,0,12
C10295,0,0.083333,2,0,3000,2755.877257,144.621645,0.181818,12
C10296,0,0.666667,16,0,7000,6010.525656,1793.262654,0.083333,12
C10297,0,0.083333,2,0,3000,871.713321,609.206784,0,12
C10298,0.083333,0.25,4,12,5000,580.13865,1114.588285,0,12
C10299,0,0,0,17,6500,1024.267592,122.850835,0.5,12
C10300,0,0.166667,3,0,6000,1362.966798,2019.027883,0,12
C10301,0.666667,0,0,34,10000,1986.838064,233.614975,1,12
C10302,0.166667,0.166667,6,10,6000,1515.594331,2092.915898,0,12
C10303,0,0,0,2,5000,856.05828,761.012234,0,12
C10304,0,0.583333,9,0,4000,1057.678259,1229.820066,0,12
C10305,0.916667,0,0,14,6000,370.996177,163.287618,0.333333,12
C10306,0.75,0,0,48,2900,7943.57021,197.416104,1,12
C10307,0,0.25,3,2,6000,2261.523522,388.258009,0,12
C10308,0,0.083333,2,0,12000,1786.142816,1351.998523,0,12
C10309,0,0,0,13,3000,1620.193277,857.535876,0,12
C10310,0,0.083333,1,15,500,1583.918811,137.046292,0.636364,12
C10311,0,0.166667,8,12,4000,1139.058595,1403.477006,0,12
C10312,1,0,0,27,11000,7596.768364,1013.086448,0.083333,12
C10313,0,0.083333,4,0,8000,8019.800702,964.118618,0,12
C10314,0.25,0,0,15,2700,451.600059,199.955286,0,12
C10315,0,0.416667,10,0,11000,1933.413908,2576.552758,0,12
C10316,1,0,0,41,4500,2059.879468,165.05215,1,12
C10317,0.666667,0,0,26,6000,1289.570234,173.686552,0.666667,12
C10318,1,0,0,16,3500,1364.121036,186.240772,0.833333,12
C10319,0,0.181818,3,0,4500,312.433361,648.139459,0,11
C10320,0.583333,0,0,12,2100,0,,0,12
C10321,0.083333,0,0,14,15000,611.606459,162.94308,0.909091,12
C10322,1,0.25,10,36,2500,2715.972095,956.330023,0,12
C10323,1,0,0,60,6000,0,,0,12
C10324,0,0.333333,5,0,1000,719.974244,339.553093,0,12
C10325,0,0.166667,3,0,5500,1151.721386,627.015802,0,12
C10326,0,0.363636,7,0,1000,117.542764,137.6915,0,11
C10327,0,0.142857,4,0,7000,863.62306,1148.631716,0,7
C10328,0,0,0,10,1950,314.302968,417.290247,0,12
C10329,1,0,0,12,1500,325.578502,286.122587,0.166667,12
C10330,0.75,0,0,16,6000,1159.135064,,0,12
C10331,0.083333,0.416667,11,1,5700,1289.284068,1172.289863,0,12
C10332,0.666667,0.333333,9,16,12500,2055.100879,2199.077716,0,12
C10333,0,0.333333,7,0,7500,1493.089193,2488.976669,0,12
C10334,0,0,0,4,8000,1042.991769,579.587654,0,12
C10335,0,0.666667,9,0,4500,476.162309,401.970276,0,12
C10336,1,0,0,24,1500,453.842413,148.28357,0.333333,12
C10337,0.666667,0,0,26,21000,19714.09728,1479.309409,0.1,12
C10338,0,0.25,4,12,2500,1926.31853,1933.173023,0,12
C10339,0,0.333333,7,1,1000,1084.281127,367.409536,0,12
C10340,0.083333,0,0,21,8500,2690.525687,192.66679,1,12
C10341,0,0.166667,2,0,3000,642.777061,1122.076137,0,12
C10342,0,0,0,12,6000,1077.058667,169.005281,1,12
C10343,1,0,0,32,6500,4952.900653,280.821958,0.083333,12
C10344,0.833333,0,0,32,14000,4003.782858,197.186568,0.583333,12
C10345,0,0.909091,13,0,2300,2147.890523,2077.873573,0,11
C10346,0.166667,0.166667,9,3,9500,9226.751112,797.250949,0,12
C10347,0.166667,0,0,2,1200,718.794328,53.655347,0,12
C10348,0.5,0,0,61,9000,3805.669705,163.459999,1,12
C10349,0.25,0,0,5,2500,347.08638,149.301101,0.75,12
C10350,1,0,0,12,13500,6084.115091,890.639118,0.090909,12
C10351,0,0.166667,5,3,3200,222.02316,300.210049,0,12
C10352,0,0.416667,20,8,6000,32048.6122,406.790252,0.8,12
C10353,0,0.083333,1,2,1500,535.606816,432.68808,0,12
C10354,0,0,0,1,1800,345.330572,85.297166,0,10
C10355,0.916667,0,0,51,9500,2437.332725,176.283228,1,12
C10356,0.5,0,0,7,2000,302.454171,74.667401,0,12
C10357,0,0,0,12,5500,2961.632199,440.30634,0,12
C10358,0.833333,0,0,33,3000,1866.265366,237.328382,0,12
C10359,1,0.75,20,74,11000,8251.146946,834.025674,0,12
C10360,0.666667,0,0,16,5000,344.161416,155.792859,0.8,12
C10361,0,0.083333,1,0,10500,1288.287239,1164.178674,0,12
C10362,0.5,0,0,29,11500,5674.185857,563.827502,0,12
C10364,0.416667,0.5,11,8,9500,3957.017497,4951.58548,0,12
C10365,0,0,0,1,4800,0,,0,12
C10366,0,0,0,5,8500,918.414211,57.150516,0.181818,12
C10367,1,0,0,99,5000,3909.837604,444.12429,0.166667,12
C10368,1,0,0,16,19500,1142.077891,185.657751,1,12
C10369,0.333333,0.333333,17,4,6000,1716.998424,2463.472147,0,12
C10370,0,0.083333,1,0,3000,2298.902197,214.263752,0.2,12
C10371,0,0.083333,1,0,1800,548.589391,529.340488,0,12
C10372,0.25,0,0,15,2400,389.411161,219.465695,0,12
C10373,0,0.25,3,0,1500,866.865018,354.381003,0,12
C10374,0.375,0,0,9,11000,296.01675,134.448872,0,8
C10375,0.666667,0.25,22,31,7300,18552.39489,762.263884,0.416667,12
C10376,0,0.25,8,2,1200,237.996469,265.708814,0,12
C10377,1,0,0,59,1200,1282.705869,1300.596775,0,12
C10378,0,0,0,1,2300,2680.635587,2503.374595,0.25,12
C10379,1,0,0,49,5500,2507.704747,7490.453967,0,12
C10380,0,0.5,10,0,8000,2845.010795,2459.741299,0,12
C10381,0,0.25,3,0,8000,10973.14532,2384.817152,0.083333,12
C10382,0.25,0,0,50,12000,5711.540654,202.73209,0.833333,12
C10383,1,0.166667,4,25,9000,2116.662516,3598.719728,0,12
C10384,0,0.083333,1,0,3000,0,,0,12
C10385,1,0,0,76,4500,3904.568067,373.931063,0.083333,12
C10386,1,0,0,30,2000,2021.775795,3073.416298,0,12
C10387,0,0,0,2,7000,176.600545,76.462301,0,12
C10388,0.833333,0,0,39,18500,4868.088671,2861.890896,0,12
C10389,0.583333,0,0,7,2500,2550.799492,157.269321,1,12
C10390,0,0,0,6,1400,802.858576,220.455533,0,12
C10391,0,0.166667,2,0,1600,353.582373,559.030296,0,12
C10392,0.166667,0.166667,2,2,14000,3519.008859,3430.627754,0,12
C10393,0,0.083333,1,0,2000,1177.661577,190.365154,0,12
C10395,0,0.333333,8,4,1500,930.328071,3245.693485,0,12
C10396,0,0,0,1,6000,57.595083,67.1925,0,12
C10397,0.75,0,0,47,4000,5589.952268,232.131169,1,12
C10398,0,0.2,5,1,6000,361.853722,645.320421,0,10
C10399,0,0,0,1,1800,338.413344,642.547142,0,12
C10400,0,0.25,4,0,9000,677.144841,27631.45072,0,12
C10402,1,0,0,24,2500,697.977603,183.858351,0.583333,12
C10403,0.5,0,0,7,4000,328.796655,165.308304,0,12
C10404,0,0,0,2,4000,192.369983,221.375942,0,12
C10405,0,0,0,13,6550,3239.629759,411.871046,0.083333,12
C10406,0.166667,0.083333,1,4,5000,4730.374245,481.558276,0.1,12
C10407,1,0.166667,8,126,11000,7932.77402,17494.90735,0,12
C10408,0.416667,0,0,6,1000,249.066308,184.776562,0,12
C10409,0,0.083333,2,0,10000,541.308981,724.956358,0,12
C10410,0.5,0,0,11,8500,1703.332126,1121.510137,0,12
C10411,0.166667,0.166667,7,2,1200,1421.035206,106.039362,0.25,6
C10412,0,0.25,6,0,13000,1336.016317,1606.963379,0,12
C10413,0.833333,0.333333,6,22,3500,663.553502,483.836254,0,12
C10414,0.666667,0,0,14,5000,1834.368953,212.770698,0,12
C10415,0.916667,0,0,28,2000,1411.329676,1430.50774,0,12
C10416,0.75,0.625,24,8,6000,565.71913,1241.283569,0,8
C10417,0.833333,0,0,38,13000,1669.260634,208.701639,0.25,12
C10419,0,0.25,4,0,8000,0,,0,12
C10420,0.333333,0,0,6,9000,6862.520735,994.384835,0,12
C10421,0.25,0,0,5,2500,0,,0,12
C10422,0,0.083333,1,0,2100,444.783009,671.420908,0,12
C10423,0,0.333333,10,0,4500,4226.578611,691.692633,0,12
C10424,0.166667,0,0,5,13500,5563.437084,248.700571,1,12
C10425,0,0.090909,1,0,6200,802.038512,291.307669,0,11
C10426,0.583333,0,0,25,9500,1356.425369,179.894243,0.4,12
C10427,0.125,0,0,2,1200,0,,0,8
C10428,0,0.25,8,1,6000,2162.141639,2009.821743,0,12
C10429,1,0,0,20,7000,552.734714,173.336309,0,12
C10430,1,0,0,229,6000,4561.589382,199.730537,0,12
C10431,0,0,0,5,15000,1885.239981,4980.192685,0,12
C10432,0.916667,0,0,64,7500,3879.252512,1868.983718,0,12
C10433,0.416667,0,0,14,8000,1369.437449,98.678839,0.333333,12
C10434,1,0.25,4,24,5000,4673.520993,982.544984,0,12
C10435,0.416667,0.166667,2,7,2000,1849.10398,263.163209,0.2,12
C10436,0,0.25,3,0,1500,331.670616,479.771774,0,12
C10437,0,0.166667,4,0,4500,0,,0,12
C10438,1,0,0,85,13500,5377.338091,1365.123434,0,12
C10439,0.833333,0.333333,7,20,9000,6124.31525,362.970189,0,12
