CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10040,1411.6022,0.454545,963.24,963.24,0.0,6173.683,0.083333,0.083333,0.0,0.333333,6.0,6.0,7500.0,20071.076,719.949,0.333333,12.0
C10041,663.4478,0.727273,0.0,0.0,0.0,3133.064,0.0,0.0,0.0,0.25,3.0,0.0,1800.0,3067.0579,283.33344,0.166667,12.0
C10043,784.8898,0.909091,1526.59,786.3,740.29,2188.4197,0.583333,0.416667,0.333333,0.25,11.0,27.0,3000.0,1262.3097,363.14273,0.111111,12.0
C10044,4104.711,1.0,203.82,203.82,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,4500.0,868.27527,1801.2649,0.0,12.0
C10045,1360.7424,1.0,0.0,0.0,0.0,1481.587,0.0,0.0,0.0,0.083333,1.0,0.0,1500.0,378.29422,321.35413,0.0,12.0
C10046,5315.946,1.0,1525.44,469.8,1055.64,0.0,1.0,0.333333,1.0,0.0,0.0,20.0,8500.0,1430.3416,1318.715,0.0,12.0
C10047,2242.3118,1.0,437.0,97.0,340.0,184.6487,0.333333,0.083333,0.333333,0.166667,2.0,5.0,2400.0,0.0,,0.0,12.0
C10048,474.44714,0.5,109.74,0.0,109.74,1013.65955,0.375,0.0,0.25,0.125,1.0,3.0,1700.0,176.013,147.1998,0.0,8.0
C10049,3910.1113,1.0,0.0,0.0,0.0,1980.8732,0.0,0.0,0.0,0.5,7.0,0.0,4200.0,0.0,,0.0,12.0
C10050,229.86717,1.0,2390.6,1402.93,987.67,0.0,1.0,0.666667,1.0,0.0,0.0,87.0,3300.0,2543.9536,175.65782,0.916667,12.0
C10051,863.8098,1.0,507.5,507.5,0.0,695.09717,0.166667,0.166667,0.0,0.083333,2.0,3.0,4000.0,587.86646,286.44873,0.083333,12.0
C10052,4931.332,1.0,901.42,646.07,255.35,8530.648,0.625,0.375,0.25,0.875,37.0,9.0,12000.0,8113.2974,1012.41595,0.0,8.0
C10053,1078.8885,1.0,3107.85,2221.74,886.11,0.0,0.666667,0.583333,0.5,0.0,0.0,18.0,2500.0,1399.8284,1322.4467,0.0,12.0
C10054,1565.6812,1.0,0.0,0.0,0.0,321.35913,0.0,0.0,0.0,0.25,3.0,0.0,3500.0,691.82526,581.48193,0.0,12.0
C10055,464.67416,0.888889,1979.22,1979.22,0.0,1981.2655,0.666667,0.666667,0.0,0.111111,1.0,11.0,3000.0,3110.0527,132.44609,0.2,9.0
C10056,6.660517,0.636364,310.0,0.0,310.0,0.0,0.666667,0.0,0.666667,0.0,0.0,8.0,1000.0,417.01675,,0.0,12.0
C10057,1311.996,1.0,1283.9,1283.9,0.0,0.0,0.25,0.25,0.0,0.0,0.0,6.0,6000.0,0.0,,0.0,12.0
C10058,3625.2183,1.0,313.27,313.27,0.0,668.46875,0.25,0.25,0.0,0.416667,5.0,4.0,4000.0,0.0,,0.0,12.0
C10059,2386.3306,1.0,5217.62,4789.09,428.53,0.0,0.916667,0.916667,0.5,0.0,0.0,42.0,7500.0,5678.7295,1311.5149,0.083333,12.0
C10060,3971.1387,1.0,0.0,0.0,0.0,224.57552,0.0,0.0,0.0,0.181818,3.0,0.0,4000.0,764.9387,1600.2123,0.0,11.0
C10061,5493.9043,1.0,229.0,0.0,229.0,970.5913,0.416667,0.0,0.333333,0.333333,4.0,6.0,6000.0,2110.5571,1895.0261,0.0,12.0
C10062,1879.114,0.727273,113.0,113.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,2.0,6500.0,3509.6865,548.10583,0.0,12.0
C10063,1555.7937,1.0,66.2,66.2,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1600.0,338.08365,837.2157,0.0,12.0
C10064,809.583,0.909091,0.0,0.0,0.0,3819.6724,0.0,0.0,0.0,0.545455,7.0,0.0,4150.0,4372.1484,241.64539,0.090909,11.0
C10065,7.152356,0.090909,840.0,840.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1600.0,0.0,,0.0,12.0
C10067,1923.8868,1.0,1887.64,0.0,1887.64,1605.9493,1.0,0.0,1.0,0.083333,4.0,61.0,1850.0,3688.046,3266.9968,0.083333,12.0
C10068,1758.0599,1.0,412.33,325.21,87.12,0.0,0.583333,0.333333,0.166667,0.0,0.0,11.0,1800.0,777.45166,897.90546,0.0,12.0
C10069,809.8475,0.875,0.0,0.0,0.0,908.4236,0.0,0.0,0.0,0.125,1.0,0.0,1500.0,146.07477,179.41249,0.0,8.0
C10070,1576.305,1.0,0.0,0.0,0.0,382.90854,0.0,0.0,0.0,0.416667,6.0,0.0,2500.0,540.0222,352.8838,0.0,12.0
C10071,3990.5237,1.0,263.5,190.6,72.9,0.0,0.666667,0.083333,0.583333,0.0,0.0,8.0,6000.0,6876.8364,1001.60736,0.083333,12.0
C10072,1699.4355,1.0,1363.69,1363.69,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,4.0,1700.0,1623.8164,923.50586,0.0,12.0
C10073,5487.6836,1.0,419.1,0.0,419.1,625.3994,0.916667,0.0,0.833333,0.333333,4.0,11.0,6250.0,1288.215,2180.8818,0.0,12.0
C10074,2990.422,0.909091,4523.27,1664.09,2859.18,27296.486,0.666667,0.5,0.583333,0.833333,27.0,33.0,7000.0,28232.695,1107.0308,0.454545,12.0
C10075,656.013,1.0,0.0,0.0,0.0,1474.3499,0.0,0.0,0.0,0.125,3.0,0.0,7000.0,910.458,140.9832,0.25,8.0
C10077,1808.9724,1.0,713.9,503.08,210.82,0.0,0.5,0.1,0.4,0.0,0.0,8.0,2250.0,889.0174,622.7577,0.0,10.0
C10078,532.33453,0.909091,791.94,516.64,275.3,0.0,0.272727,0.090909,0.181818,0.0,0.0,7.0,6000.0,1305.1772,175.51035,0.0,11.0
C10079,5860.4336,1.0,561.87,249.5,312.37,0.0,0.833333,0.166667,0.75,0.0,0.0,14.0,6000.0,1990.045,2161.4282,0.0,12.0
C10080,1727.6384,1.0,606.11,606.11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,11000.0,2959.9207,623.657,0.0,12.0
C10081,578.8097,1.0,320.0,0.0,320.0,0.0,0.75,0.0,0.666667,0.0,0.0,8.0,1500.0,1438.9105,190.18654,0.0,12.0
C10082,1205.7167,1.0,0.0,0.0,0.0,38.3258,0.0,0.0,0.0,0.083333,1.0,0.0,1200.0,29.278671,8242.6875,0.0,12.0
C10083,6593.821,1.0,388.66,388.66,0.0,4621.9346,0.583333,0.583333,0.0,0.416667,7.0,7.0,7000.0,1624.5831,2503.4023,0.0,12.0
C10084,17.357563,0.909091,244.85,40.21,204.64,0.0,0.666667,0.166667,0.583333,0.0,0.0,13.0,5000.0,357.8021,121.523415,0.181818,12.0
C10085,81.58471,0.272727,0.0,0.0,0.0,2985.3,0.0,0.0,0.0,0.166667,5.0,0.0,9500.0,116.56903,164.69214,0.0,12.0
C10086,3.78631,0.636364,133.05,28.2,104.85,0.0,0.416667,0.166667,0.25,0.0,0.0,5.0,12000.0,210.05344,99.53374,0.444444,12.0
C10087,42.46443,0.545455,396.0,0.0,396.0,0.0,0.5,0.0,0.416667,0.0,0.0,12.0,1200.0,725.6062,140.80945,1.0,12.0
C10088,1935.3624,1.0,4915.6,4515.34,400.26,293.8448,1.0,1.0,0.333333,0.083333,1.0,50.0,9000.0,4921.067,594.7567,0.0,12.0
C10089,134.9172,1.0,1247.8,1247.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,22.0,16500.0,1275.2295,171.3572,1.0,12.0
C10090,7069.95,1.0,1603.78,1445.14,158.64,5626.004,1.0,0.833333,1.0,0.75,23.0,23.0,11000.0,4589.874,1876.263,0.0,12.0
C10092,8181.251,1.0,2258.01,1318.78,939.23,5251.229,1.0,0.75,1.0,0.75,21.0,60.0,13500.0,3021.576,2074.5815,0.0,12.0
C10093,4037.3057,1.0,45.0,45.0,0.0,104.23807,0.083333,0.083333,0.0,0.083333,1.0,1.0,4500.0,1073.8448,968.9413,0.0,12.0
C10094,6110.265,1.0,0.0,0.0,0.0,2717.254,0.0,0.0,0.0,0.416667,14.0,0.0,6500.0,1502.2057,2864.3804,0.0,12.0
C10095,9381.255,1.0,5100.07,1147.83,3952.24,370.73718,1.0,0.25,0.916667,0.083333,1.0,46.0,9000.0,6409.4966,9827.045,0.0,12.0
C10096,1977.0071,1.0,1032.04,226.9,805.14,4335.9194,0.909091,0.090909,0.818182,0.545455,21.0,17.0,4000.0,3056.425,910.7075,0.090909,11.0
C10097,1321.4761,1.0,45.65,45.65,0.0,495.65793,0.083333,0.083333,0.0,0.083333,1.0,1.0,1800.0,440.84045,312.56064,0.0,12.0
C10098,1307.7179,1.0,405.6,405.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,2.0,2400.0,0.0,,0.0,12.0
C10099,2329.4858,1.0,213.34,213.34,0.0,0.0,0.25,0.25,0.0,0.0,0.0,3.0,2400.0,0.0,,0.0,12.0
C10100,1139.7828,1.0,0.0,0.0,0.0,120.612915,0.0,0.0,0.0,0.083333,1.0,0.0,1200.0,151.82365,2906.1108,0.0,12.0
C10101,1619.9557,1.0,739.44,739.44,0.0,0.0,0.666667,0.666667,0.0,0.0,0.0,11.0,6000.0,417.12854,389.13852,0.0,12.0
C10102,3505.6714,1.0,0.0,0.0,0.0,1713.9843,0.0,0.0,0.0,0.5,6.0,0.0,4000.0,0.0,,0.0,12.0
C10103,4.708041,0.363636,79.0,0.0,79.0,0.0,0.25,0.0,0.166667,0.0,0.0,3.0,7000.0,217.82019,121.781204,1.0,12.0
C10104,0.0,0.0,0.0,0.0,0.0,89.84901,0.0,0.0,0.0,0.142857,1.0,0.0,3000.0,138.02142,,0.0,7.0
C10105,4.875885,0.666667,20.0,20.0,0.0,0.0,0.111111,0.111111,0.0,0.0,0.0,1.0,1500.0,26.487919,60.913578,0.0,9.0
C10106,23.394411,0.272727,1346.28,0.0,1346.28,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2000.0,712.1492,54.79166,0.0,12.0
C10107,3539.802,1.0,2823.8,1540.41,1283.39,0.0,0.916667,0.916667,0.833333,0.0,0.0,75.0,5700.0,9172.788,2103.7961,0.083333,12.0
C10108,0.62424,0.090909,389.96,0.0,389.96,0.0,1.0,0.0,1.0,0.0,0.0,31.0,4500.0,0.0,,0.0,12.0
C10109,862.0724,1.0,0.0,0.0,0.0,920.3098,0.0,0.0,0.0,0.083333,1.0,0.0,4000.0,2236.8901,214.82816,0.083333,12.0
C10110,2441.543,1.0,808.0,808.0,0.0,959.85724,0.25,0.25,0.0,0.333333,6.0,4.0,4000.0,532.7417,1026.976,0.0,12.0
C10111,408.65637,1.0,941.64,0.0,941.64,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2500.0,1097.7894,176.61061,0.083333,12.0
C10112,4986.401,1.0,0.0,0.0,0.0,5439.468,0.0,0.0,0.0,0.583333,40.0,0.0,8000.0,1241.538,1439.231,0.0,12.0
C10113,1246.6245,1.0,423.7,177.64,246.06,412.39905,0.666667,0.166667,0.5,0.083333,2.0,10.0,2000.0,577.05035,498.36542,0.0,12.0
C10114,6644.2017,1.0,4478.75,2721.59,1757.16,7205.521,1.0,0.916667,1.0,0.583333,21.0,64.0,9000.0,10857.943,2469.5713,0.083333,12.0
C10115,156.21675,0.818182,1354.86,585.63,769.23,0.0,0.916667,0.333333,0.833333,0.0,0.0,34.0,5500.0,858.9767,108.31992,0.0,12.0
C10116,3393.3513,1.0,0.0,0.0,0.0,1008.3487,0.0,0.0,0.0,0.083333,2.0,0.0,4200.0,0.0,,0.0,12.0
C10117,5322.994,1.0,2812.2,857.12,1955.08,2510.353,1.0,0.25,1.0,0.333333,8.0,81.0,8500.0,1509.4232,1834.0316,0.0,12.0
C10118,6458.562,1.0,0.0,0.0,0.0,3360.2288,0.0,0.0,0.0,0.25,11.0,0.0,7000.0,1277.7678,2760.1157,0.0,12.0
C10119,175.34164,0.818182,1508.9,1252.36,256.54,0.0,0.666667,0.416667,0.333333,0.0,0.0,14.0,5000.0,1884.2278,136.63983,1.0,12.0
C10120,680.1951,1.0,1045.57,667.95,377.62,0.0,1.0,0.583333,1.0,0.0,0.0,25.0,3000.0,552.4323,207.72044,0.0,12.0
C10121,223.76361,0.636364,2309.78,0.0,2309.78,0.0,0.583333,0.0,0.5,0.0,0.0,12.0,6500.0,1206.8119,99.37285,0.333333,12.0
C10122,1785.627,1.0,0.0,0.0,0.0,576.20636,0.0,0.0,0.0,0.25,10.0,0.0,1800.0,687.6917,2439.1362,0.0,12.0
C10123,54.93323,0.272727,495.0,0.0,495.0,0.0,0.166667,0.0,0.166667,0.0,0.0,2.0,7000.0,1969.8456,147.04996,1.0,12.0
C10124,2662.63,1.0,0.0,0.0,0.0,509.0238,0.0,0.0,0.0,0.333333,4.0,0.0,3000.0,932.4189,709.20703,0.0,12.0
C10125,8504.876,1.0,6724.26,4100.08,2624.18,1686.5997,1.0,0.916667,1.0,0.5,10.0,85.0,17000.0,1888.7568,2167.4463,0.0,12.0
C10126,1464.3246,1.0,1174.39,1174.39,0.0,0.0,0.25,0.25,0.0,0.0,0.0,8.0,9000.0,0.0,,0.0,12.0
C10127,2114.1587,1.0,5580.85,0.0,5580.85,0.0,1.0,0.0,1.0,0.0,0.0,75.0,8500.0,3564.9778,630.00415,0.0,12.0
C10128,2876.3965,1.0,0.0,0.0,0.0,998.8487,0.0,0.0,0.0,0.166667,2.0,0.0,3200.0,1065.4269,1412.6481,0.0,12.0
C10130,14224.115,1.0,0.0,0.0,0.0,4614.4272,0.0,0.0,0.0,0.333333,9.0,0.0,19000.0,3066.6143,3406.259,0.0,12.0
C10131,2392.9177,1.0,12462.44,12462.44,0.0,0.0,0.916667,0.916667,0.0,0.0,0.0,217.0,2800.0,11628.716,2000.991,0.0,12.0
C10132,57.4532,0.75,0.0,0.0,0.0,272.7133,0.0,0.0,0.0,0.125,1.0,0.0,1200.0,385.85388,84.69729,0.166667,8.0
C10133,4245.855,1.0,1957.3,1077.3,880.0,0.0,0.833333,0.166667,0.583333,0.0,0.0,19.0,5000.0,1004.35474,1086.429,0.0,12.0
C10134,11167.234,1.0,150.64,150.64,0.0,8362.154,0.083333,0.083333,0.0,0.5,14.0,1.0,17000.0,2606.0593,2894.0771,0.0,12.0
C10135,69.40555,0.090909,0.0,0.0,0.0,2799.7148,0.0,0.0,0.0,0.083333,3.0,0.0,13000.0,0.0,,0.0,12.0
C10136,116.65415,0.272727,907.0,907.0,0.0,273.55804,0.25,0.25,0.0,0.083333,1.0,8.0,5000.0,0.0,,0.0,12.0
C10137,4637.848,1.0,1271.12,351.54,919.58,0.0,0.833333,0.25,0.833333,0.0,0.0,33.0,5000.0,1906.0321,3572.2793,0.0,12.0
C10138,24.28497,0.636364,250.6,0.0,250.6,0.0,0.583333,0.0,0.5,0.0,0.0,7.0,3000.0,319.7629,173.632,0.0,12.0
C10139,9354.061,1.0,796.33,796.33,0.0,13748.472,0.083333,0.083333,0.0,0.666667,16.0,1.0,13000.0,10664.658,2600.8757,0.083333,12.0
C10140,231.109,1.0,440.0,0.0,440.0,0.0,0.916667,0.0,0.916667,0.0,0.0,22.0,4000.0,554.1165,185.09103,0.0,12.0
C10141,1562.6333,1.0,1330.62,1169.63,160.99,0.0,0.5,0.166667,0.25,0.0,0.0,8.0,2000.0,1020.7836,709.61005,0.0,12.0
C10142,2494.8687,1.0,5491.79,1390.5,4101.29,0.0,1.0,0.5,1.0,0.0,0.0,52.0,17000.0,1015.31195,615.924,0.0,12.0
C10143,706.1329,1.0,897.86,714.52,183.34,586.269,0.916667,0.333333,0.916667,0.25,3.0,18.0,1200.0,972.35803,184.52438,0.0,12.0
C10144,19043.139,1.0,22009.92,9449.07,12560.85,0.0,1.0,0.75,1.0,0.0,0.0,216.0,18000.0,23018.576,18621.014,0.0,12.0
C10145,2235.1033,1.0,720.6,720.6,0.0,723.3087,1.0,1.0,0.0,0.083333,1.0,12.0,2500.0,1061.2925,689.1189,0.0,12.0
C10146,947.1308,1.0,197.06,148.66,48.4,0.0,0.333333,0.25,0.166667,0.0,0.0,5.0,1000.0,492.2004,509.3842,0.0,12.0
C10147,764.0422,0.818182,0.0,0.0,0.0,1307.1025,0.0,0.0,0.0,0.166667,3.0,0.0,7500.0,1566.8069,172.95973,0.0,12.0
C10148,5347.8145,1.0,0.0,0.0,0.0,4002.3533,0.0,0.0,0.0,0.5,9.0,0.0,7000.0,0.0,,0.0,12.0
C10149,10598.468,1.0,2084.48,1300.48,784.0,0.0,0.666667,0.416667,0.583333,0.0,0.0,13.0,21500.0,3219.6213,3068.1257,0.0,12.0
C10150,2163.6787,1.0,5779.36,3436.53,2342.83,0.0,1.0,1.0,1.0,0.0,0.0,97.0,6500.0,4416.4126,546.43915,0.0,12.0
C10151,3057.4006,1.0,1025.0,1025.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,2.0,7500.0,698.85406,819.6827,0.0,12.0
C10152,19.354559,0.909091,689.7,0.0,689.7,0.0,0.833333,0.0,0.833333,0.0,0.0,10.0,10000.0,746.69104,,0.0,12.0
C10153,264.81158,1.0,28.65,28.65,0.0,384.26178,0.083333,0.083333,0.0,0.083333,1.0,1.0,9000.0,1235.6301,194.32446,0.083333,12.0
C10154,1108.2225,0.909091,944.96,164.96,780.0,0.0,0.5,0.25,0.416667,0.0,0.0,9.0,1500.0,1955.199,992.65247,0.0,12.0
C10155,906.5737,1.0,1039.2,80.0,959.2,103.10209,0.833333,0.083333,0.833333,0.083333,1.0,11.0,13500.0,1855.2354,468.19675,0.083333,12.0
C10156,7679.629,1.0,4059.93,0.0,4059.93,555.46936,0.583333,0.0,0.5,0.166667,7.0,14.0,7000.0,3685.6106,12854.939,0.0,12.0
C10157,1523.9115,1.0,4075.37,3322.28,753.09,0.0,1.0,1.0,1.0,0.0,0.0,31.0,6500.0,2254.26,329.29648,0.0,12.0
C10158,49.206257,1.0,870.24,0.0,870.24,0.0,1.0,0.0,1.0,0.0,0.0,24.0,8000.0,835.83997,193.01117,1.0,12.0
C10159,13673.08,1.0,9792.23,3959.81,5832.42,2444.4458,1.0,0.75,1.0,0.75,26.0,216.0,20000.0,11717.308,6042.3916,0.0,12.0
C10160,106.45598,0.636364,2463.12,789.53,1673.59,0.0,1.0,0.5,1.0,0.0,0.0,46.0,4000.0,2573.7227,95.342224,0.636364,12.0
C10161,119.7609,0.363636,1859.34,0.0,1859.34,0.0,0.333333,0.0,0.25,0.0,0.0,4.0,20000.0,3104.2756,288.90363,0.25,12.0
C10162,5837.1055,1.0,3488.49,3262.25,226.24,3303.1523,1.0,1.0,0.5,0.75,15.0,46.0,7900.0,0.0,,0.0,12.0
C10163,1734.51,1.0,0.0,0.0,0.0,66.27585,0.0,0.0,0.0,0.166667,2.0,0.0,1800.0,363.47446,2827.9976,0.0,12.0
C10164,2765.7483,1.0,7283.31,5087.31,2196.0,0.0,1.0,1.0,0.666667,0.0,0.0,77.0,11000.0,14373.393,1058.1284,0.25,12.0
C10165,1046.3704,1.0,295.0,295.0,0.0,93.57981,0.083333,0.083333,0.0,0.083333,1.0,2.0,1200.0,439.40707,362.8382,0.0,12.0
C10166,2737.3677,1.0,0.0,0.0,0.0,429.69116,0.0,0.0,0.0,0.416667,5.0,0.0,3000.0,778.828,721.7986,0.0,12.0
C10167,4014.818,1.0,0.0,0.0,0.0,988.3562,0.0,0.0,0.0,0.083333,1.0,0.0,8500.0,1009.18506,1177.1499,0.0,12.0
C10168,871.569,1.0,648.22,115.0,533.22,0.0,1.0,0.083333,1.0,0.0,0.0,27.0,1200.0,1110.8865,208.29843,0.0,12.0
C10169,1610.0402,1.0,557.19,525.64,31.55,0.0,0.25,0.083333,0.166667,0.0,0.0,5.0,4000.0,422.71185,616.00586,0.0,12.0
C10170,114.59382,1.0,469.98,0.0,469.98,0.0,1.0,0.0,0.833333,0.0,0.0,6.0,1000.0,367.1093,86.10248,0.5,6.0
C10171,5800.5874,1.0,0.0,0.0,0.0,369.9508,0.0,0.0,0.0,0.083333,1.0,0.0,6500.0,1346.3656,1972.526,0.0,12.0
C10172,823.10394,0.363636,131.64,0.0,131.64,0.0,1.0,0.0,1.0,0.0,0.0,12.0,8000.0,2916.0715,243.1995,0.0,12.0
C10173,595.67737,1.0,5078.14,4330.53,747.61,1424.4426,0.916667,0.666667,0.75,0.083333,1.0,42.0,15000.0,4756.6543,241.89407,0.916667,12.0
C10174,1128.1245,1.0,924.6,0.0,924.6,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1000.0,1202.7118,1747.0374,0.0,12.0
